name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,resident_pop,workers_in_tract,workers_from_tract,daytime_pop
In-N-Out Burger,37.3502945,-121.921861,,Newhall Drive,550,San Jose,CA,95110,2010-01-14,,2012-05-17,way,163917089,4272,22097,2359,24010
In-N-Out Burger,35.496978,-120.6843963,,San Anselmo Road,6000,Atascadero,CA,93422,https://locations.in-n-out.com/98,,2012-06-02,way,165800311,1542,198,870,870
In-N-Out Burger,33.8319575,-117.835679,,North Tustin Street,2585,Orange,CA,92865,,,2012-07-10,way,170973961,4986,1494,2309,4171
In-N-Out Burger,34.1167764,-117.8294315,,South Lone Hill,1261,Glendora,CA,91740,2003,,2012-07-14,way,171534927,4790,8382,1882,11290
In-N-Out Burger,33.650158,-117.8406162,,Campus Drive,4115,Irvine,CA,92612,1991-07-25,,2012-07-14,way,171550869,2695,1258,939,3014
In-N-Out Burger,34.849969,-117.08241,,Lenwood Road,2821,Barstow,CA,92311,1989-11-14,,2012-08-10,way,175482039,3828,1427,1888,3367
In-N-Out Burger,33.7881165,-117.8164663,,East Chapman Avenue,3501,Orange,CA,92869,1990-03-09,,2012-08-16,way,176350146,3254,1160,1728,2686
In-N-Out Burger,34.9833769,-118.9482857,,Dennis Mccarthy Drive,5926,Lebec,CA,93243,2007-08-30,,2012-08-22,way,177273519,2265,1979,444,3800
In-N-Out Burger,36.8369068,-119.7005714,,North Clovis Avenue,382,Clovis,CA,93612,,,2012-09-13,way,180862567,5139,3953,2198,6894
In-N-Out Burger,33.7228286,-117.7936564,,El Camino Real,3020,Tustin,CA,92782,1990-10-10,,2012-10-07,way,184681624,7717,3882,3798,7801
In-N-Out Burger,34.1282252,-117.8862498,,East Alosta Avenue,988,Azusa,CA,91702,1979,,2012-10-08,way,184708931,4391,347,1457,3281
In-N-Out Burger,34.1048969,-117.8730579,,Grand Avenue,1371,Covina,CA,91724,1980,,2012-10-11,way,185319171,5947,2193,2558,5582
In-N-Out Burger,33.8602382,-117.9239346,,South Harbor Boulevard,1180,Fullerton,CA,92832,1992-09-16,,2012-10-17,way,186386960,6056,17856,2594,21318
In-N-Out Burger,33.8385765,-117.9412639,,North Euclid Street,540,Anaheim,CA,92801,,,2012-11-02,way,188704202,7808,2797,3809,6796
In-N-Out Burger,37.2489967,-121.8593748,,Santa Teresa Boulevard,5611,San Jose,CA,95123,2000-01-26,,2012-11-14,way,190815251,4060,2879,1970,4969
In-N-Out Burger,33.8743097,-117.878423,,West Chapman Avenue,825,Placentia,CA,92870,1984-05-25,,2012-11-17,way,191166151,4599,638,2855,2382
In-N-Out Burger,34.93726,-120.4188312,,South Bradley Road,1330,Santa Maria,CA,93454,1999-05-27,,2012-11-17,way,191201142,5093,3821,1737,7177
In-N-Out Burger,38.6553873,-121.525903,,Del Paso Road,2900,Sacramento,CA,95834,,,2012-12-03,way,194238539,2465,3096,867,4694
In-N-Out Burger,33.76644,-117.9720607,,Trask Avenue,9032,Garden Grove,CA,92844,1978-06-25,,2012-12-07,way,195017608,6729,2373,2778,6324
In-N-Out Burger,36.6799421,-121.640894,,Kern Street,151,Salinas,CA,93905,1994-09-21,,2013-02-14,way,205563151,4812,5381,1554,8639
In-N-Out Burger,33.8310923,-118.0848683,,Carson Street,7691,Long Beach,CA,90808,1999-04-21,,2013-06-02,way,224056167,0,2004,98,1906
In-N-Out Burger,33.9457806,-118.3323416,,West Century Boulevard,3411,Inglewood,CA,90301,2002,,2013-06-22,way,226827367,4657,2055,1720,4992
In-N-Out Burger,33.6877545,-117.919892,,Harbor Boulevard,3211,Costa Mesa,CA,92626,2010-12-17,,2013-07-04,way,228727840,2683,321,1181,1823
In-N-Out Burger,33.7003257,-117.8850654,,Bristol Street,3361,Santa Ana,CA,92704,1998-11-11,,2013-07-04,way,228745470,5896,1578,2392,5082
In-N-Out Burger,33.7586954,-118.0195892,,Westminster Boulevard,6292,Westminster,CA,92683,1985-06-29,,2013-07-18,way,230356160,2971,819,1689,2101
In-N-Out Burger,37.4905957,-122.2278514,,Veterans Boulevard,949,Redwood City,CA,94063,2010-08-26,,2013-08-10,way,233058069,4860,22824,2849,24835
In-N-Out Burger,33.9238773,-118.3953867,,North Sepulveda Boulevard,600,El Segundo,CA,90245,1990,,2013-08-13,way,233386983,0,56240,236,56004
In-N-Out Burger,33.9357751,-117.4039685,,Indiana Avenue,7467,Riverside,CA,92504,1987-06-30,,2013-08-13,way,233400557,3031,2938,1298,4671
In-N-Out Burger,34.0275009,-117.8346778,,East Valley Boulevard,21620,City Of Industry,CA,91789,2005,,2013-08-31,way,235933054,2394,10483,1423,11454
In-N-Out Burger,37.7002359,-121.9076197,,Johnson Drive,6015,Pleasanton,CA,94588,1997-08-06,,2013-09-10,way,237330224,5062,5922,2364,8620
In-N-Out Burger,33.8921015,-118.3617896,,Inglewood Avenue,3801,Redondo Beach,CA,90278,1993-12-03,,2013-09-17,way,238276903,6035,11650,2477,15208
In-N-Out Burger,38.1247963,-122.2277085,,Admiral Callaghan Lane,720,Vallejo,CA,94591,2019-01-13,,2013-09-19,way,238540418,7194,3217,3079,7332
In-N-Out Burger,35.9861533,-119.9592481,,Bernard Drive,33464,Kettleman City,CA,93239,1994-03-24,,2013-10-01,way,240147666,4373,2822,1067,6128
In-N-Out Burger,33.7003858,-117.988592,,Beach Boulevard,18062,Huntington Beach,CA,92648,,,2013-10-05,way,240575511,5608,1144,2369,4383
In-N-Out Burger,38.4241094,-121.3914858,,East Stockton Boulevard,9188,Elk Grove,CA,95624,1996-11-14,,2013-12-23,way,253221721,5940,1490,2482,4948
