name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,median_income
In-N-Out Burger,34.9833769,-118.9482857,,Dennis Mccarthy Drive,5926,Lebec,CA,93243,2007-08-30,,2012-08-22,way,177273519,52791
In-N-Out Burger,36.8369068,-119.7005714,,North Clovis Avenue,382,Clovis,CA,93612,,,2012-09-13,way,180862567,52386
In-N-Out Burger,33.7228286,-117.7936564,,El Camino Real,3020,Tustin,CA,92782,1990-10-10,,2012-10-07,way,184681624,127902
In-N-Out Burger,34.1282252,-117.8862498,,East Alosta Avenue,988,Azusa,CA,91702,1979,,2012-10-08,way,184708931,75333
In-N-Out Burger,34.1048969,-117.8730579,,Grand Avenue,1371,Covina,CA,91724,1980,,2012-10-11,way,185319171,84135
In-N-Out Burger,33.8602382,-117.9239346,,South Harbor Boulevard,1180,Fullerton,CA,92832,1992-09-16,,2012-10-17,way,186386960,84681
In-N-Out Burger,33.8385765,-117.9412639,,North Euclid Street,540,Anaheim,CA,92801,,,2012-11-02,way,188704202,85272
In-N-Out Burger,37.2489967,-121.8593748,,Santa Teresa Boulevard,5611,San Jose,CA,95123,2000-01-26,,2012-11-14,way,190815251,132698
In-N-Out Burger,33.8743097,-117.878423,,West Chapman Avenue,825,Placentia,CA,92870,1984-05-25,,2012-11-17,way,191166151,89661
In-N-Out Burger,34.93726,-120.4188312,,South Bradley Road,1330,Santa Maria,CA,93454,1999-05-27,,2012-11-17,way,191201142,60542
In-N-Out Burger,38.6553873,-121.525903,,Del Paso Road,2900,Sacramento,CA,95834,,,2012-12-03,way,194238539,84267
In-N-Out Burger,33.76644,-117.9720607,,Trask Avenue,9032,Garden Grove,CA,92844,1978-06-25,,2012-12-07,way,195017608,70664
In-N-Out Burger,36.6799421,-121.640894,,Kern Street,151,Salinas,CA,93905,1994-09-21,,2013-02-14,way,205563151,58306
In-N-Out Burger,33.8310923,-118.0848683,,Carson Street,7691,Long Beach,CA,90808,1999-04-21,,2013-06-02,way,224056167,0
In-N-Out Burger,33.9457806,-118.3323416,,West Century Boulevard,3411,Inglewood,CA,90301,2002,,2013-06-22,way,226827367,107396
In-N-Out Burger,33.6877545,-117.919892,,Harbor Boulevard,3211,Costa Mesa,CA,92626,2010-12-17,,2013-07-04,way,228727840,134333
In-N-Out Burger,33.7003257,-117.8850654,,Bristol Street,3361,Santa Ana,CA,92704,1998-11-11,,2013-07-04,way,228745470,79107
In-N-Out Burger,33.7586954,-118.0195892,,Westminster Boulevard,6292,Westminster,CA,92683,1985-06-29,,2013-07-18,way,230356160,130722
In-N-Out Burger,37.4905957,-122.2278514,,Veterans Boulevard,949,Redwood City,CA,94063,2010-08-26,,2013-08-10,way,233058069,173125
In-N-Out Burger,33.9238773,-118.3953867,,North Sepulveda Boulevard,600,El Segundo,CA,90245,1990,,2013-08-13,way,233386983,0
In-N-Out Burger,33.9357751,-117.4039685,,Indiana Avenue,7467,Riverside,CA,92504,1987-06-30,,2013-08-13,way,233400557,70278
In-N-Out Burger,34.0275009,-117.8346778,,East Valley Boulevard,21620,City Of Industry,CA,91789,2005,,2013-08-31,way,235933054,128917
In-N-Out Burger,37.7002359,-121.9076197,,Johnson Drive,6015,Pleasanton,CA,94588,1997-08-06,,2013-09-10,way,237330224,202238
In-N-Out Burger,33.8921015,-118.3617896,,Inglewood Avenue,3801,Redondo Beach,CA,90278,1993-12-03,,2013-09-17,way,238276903,159438
In-N-Out Burger,38.1247963,-122.2277085,,Admiral Callaghan Lane,720,Vallejo,CA,94591,2019-01-13,,2013-09-19,way,238540418,109918
In-N-Out Burger,35.9861533,-119.9592481,,Bernard Drive,33464,Kettleman City,CA,93239,1994-03-24,,2013-10-01,way,240147666,47271
In-N-Out Burger,33.7003858,-117.988592,,Beach Boulevard,18062,Huntington Beach,CA,92648,,,2013-10-05,way,240575511,118584
In-N-Out Burger,38.4241094,-121.3914858,,East Stockton Boulevard,9188,Elk Grove,CA,95624,1996-11-14,,2013-12-23,way,253221721,124506
In-N-Out Burger,37.5129132,-122.2585755,,Industrial Road,445,San Carlos,CA,94070,2011-06-16,,2014-01-04,way,255297212,214038
In-N-Out Burger,33.8028518,-118.3284786,,Crenshaw Boulevard,24445,Torrance,CA,90505,1992-07-30,,2014-01-05,way,255470555,111250
In-N-Out Burger,36.3133921,-119.3142528,,Mooney Boulevard,1933,Visalia,CA,93277,1995-06-21,,2014-01-22,way,257834013,71435
In-N-Out Burger,37.961138,-121.7477399,,Lone Tree Way,5581,Brentwood,CA,94513,2004-12-16,,2014-02-21,way,262631566,110563
In-N-Out Burger,33.8593161,-117.7914859,,East La Palma Avenue,5646,Anaheim Hills,CA,92807,1999-08-12,,2014-03-03,way,264263470,0
In-N-Out Burger,37.5204744,-120.8817351,,Countryside Drive,3071,Turlock,CA,95380,,,2014-05-11,way,281221358,92273
In-N-Out Burger,33.9085328,-117.5616904,,Hamner Avenue,1810,Norco,CA,92860,,,2014-05-17,way,282603870,119447
In-N-Out Burger,37.9969522,-121.3145439,,Pacific Avenue,5202,Stockton,CA,95207,,,2014-06-11,way,287546520,75938
In-N-Out Burger,37.9847167,-121.3455875,,West March Lane,2727,Stockton,CA,95219,1994-11-30,,2014-06-11,way,287634062,113452
In-N-Out Burger,33.7911921,-118.1401438,,Los Coyotes Diagonal,4600,Long Beach,CA,90815,,,2014-06-30,way,290482493,78639
In-N-Out Burger,39.723928,-121.8068025,,Business Lane,2050,Chico,CA,95928,2000-11-16,,2014-08-20,way,298977474,59785
In-N-Out Burger,33.8610094,-118.1246668,,Bellflower Boulevard,5820,Lakewwod,CA,90712,1985-12-28,,2014-09-10,way,302694951,124321
In-N-Out Burger,34.0327131,-117.6678134,,Mountain Avenue,2235,Ontario,CA,91761,1979-10-04,,2014-10-26,way,309678759,80278
In-N-Out Burger,37.2983896,-120.4819639,,Martin Luther King Jr Way,1579,Merced,CA,95340,1993-11-18,,2014-11-08,way,311711030,36550
In-N-Out Burger,33.9916506,-118.4462491,,West Washington Boulevard,13425,Marina del Rey,CA,90292,1999-10-28,,2014-12-11,way,316836541,111927
In-N-Out Burger,34.2150462,-118.4482966,,Van Nuys Boulevard,7930,Panorama City,CA,91402,1998-12-10,,2015-01-11,way,321558902,66615
In-N-Out Burger,34.1836629,-118.914599,,Newbury Road,1550,Newbury Park,CA,91320,,,2015-02-23,way,329946373,143000
In-N-Out Burger,33.6816156,-117.6694569,,Towne Centre Drive,26482,Foothill Ranch,CA,92610,1994-07-06,,2015-03-03,way,331119874,155650
In-N-Out Burger,34.107881,-117.1937193,,Greenspot Road,28009,Highland,CA,92346,,,2015-03-25,way,334657840,74390
In-N-Out Burger,34.4254562,-118.5392609,,Bouquet Canyon Road,26401,Santa Clarita,CA,91350,2003-02-20,,2015-04-13,way,338232009,101293
In-N-Out Burger,34.1520999,-118.4483336,,Van Nuys Boulevard,4444,Sherman Oaks,CA,91403,1993-07-15,,2015-04-14,way,338424686,78795
In-N-Out Burger,34.1058926,-117.5302475,,Foothill Boulevard,12599,Rancho Cucamonga,CA,91739,1993-04-14,,2015-05-11,way,344225853,69000
In-N-Out Burger,32.771475,-115.5526905,,4th st.,2390,El Centro,CA,92243,2007-12-13,,2015-05-13,way,344873553,91919
In-N-Out Burger,38.2811372,-122.2762518,,West Imola Avenue,820,Napa,CA,94559,1997-10-16,,2015-05-25,way,348383240,93400
In-N-Out Burger,33.8826378,-118.0246239,,Firestone Boulevard,14341,La Mirada,CA,90638,1995-05-31,,2015-05-31,way,350237543,111250
In-N-Out Burger,37.7971481,-121.192503,,Yosemite Avenue,1490,Manteca,CA,95336,2005-04-12,,2015-07-16,way,360811773,78011
In-N-Out Burger,37.7838136,-122.2772451,,Willie Stargell Avenue,555,Alameda,CA,94501,2015-05-14,,2015-07-21,way,361611704,117153
In-N-Out Burger,34.2410659,-118.2666668,,Foothill Boulevard,6225,Tujunga,CA,91042,1975-04-09,,2015-08-18,way,366225111,121490
In-N-Out Burger,33.7585004,-118.1111761,,Pacific Coast Highway,6391,Long Beach,CA,90803,1996-04-25,,2015-12-11,way,385393259,0
In-N-Out Burger,34.0264562,-118.3942837,,Venice Boulevard,9245,Los Angeles,CA,90034,1989-09-06,,2016-01-13,way,391238447,82361
In-N-Out Burger,34.194936,-118.606345,,Topanga Canyon Boulevard,6841,Canoga Park,CA,91303,2001,,2016-01-15,way,391517323,98490
In-N-Out Burger,33.1371614,-117.1771763,,West San Marcos Boulevard,583,San Marcos,CA,92078,2004-07-27,,2016-03-05,way,401771792,130552
In-N-Out Burger,33.5452791,-117.6738281,,Camino Capistrano,28782,San Juan Capistrano,CA,92675,1982-08-24,,2016-03-05,way,401869009,132528
In-N-Out Burger,33.1151488,-117.1018928,,West Valley Parkway,1260,Escondido,CA,92029,2010-09-30,,2016-03-06,way,401882502,60170
In-N-Out Burger,32.9817026,-117.0775705,,Carmel Mountain Road,11880,San Diego,CA,92128,1993-08-02,,2016-03-28,way,406089695,114490
In-N-Out Burger,32.7442148,-117.0432481,,Broadway,7160,Lemon Grove,CA,91945,1990-01-16,,2016-03-28,way,406114119,37722
In-N-Out Burger,32.6204984,-116.96199,,Eastlake Parkway,1725,Chula Vista,CA,91915,2008-12-23,,2016-03-28,way,406115081,141852
In-N-Out Burger,33.7534195,-118.3086571,,North Western Avenue,1090,San Pedro,CA,90732,2001-06-14,,2016-04-04,way,407724220,94800
In-N-Out Burger,33.8311352,-118.2884114,,West Carson Street,730,Torrance,CA,90502,1983-12-23,,2016-04-08,way,408796738,96154
