name,lat,lon,address,street,housenumber,city,state,postcode,start_date,opening_date,osm_first_seen,osm_type,osm_id,dist_to_nearest_prior_km
In-N-Out Burger,34.0630975,-118.448044,,Gayley Avenue,922,Los Angeles,CA,90024,1997-04-01,,2016-06-15,way,425181723,6.414
In-N-Out Burger,37.9890711,-122.3107655,,Fitzgerald Drive,1417,Pinole,CA,94564,1997-04-24,,2009-01-21,way,30328331,37.454
In-N-Out Burger,34.1060339,-118.1343776,,North Atlantic Boulevard,1210,Alhambra,CA,91801,1997-05-14,,2026-01-07,node,13438655411,5.46
In-N-Out Burger,38.6146071,-121.2689742,,Sunrise Boulevard,2475,Rancho Cordova,CA,95670,1997-06-03,,2016-12-24,way,461586687,23.713
In-N-Out Burger,32.7519523,-117.2053595,,Sports Arena Boulevard,3102,San Diego,CA,92110,1997-06-27,,2009-03-06,way,31818071,6.462
In-N-Out Burger,37.7002359,-121.9076197,,Johnson Drive,6015,Pleasanton,CA,94588,1997-08-06,,2013-09-10,way,237330224,10.687
In-N-Out Burger,38.257301,-122.0646902,,Holiday Lane,1364,Fairfield,CA,94534,1997-09-09,,2020-03-10,way,779951841,15.134
In-N-Out Burger,38.2811372,-122.2762518,,West Imola Avenue,820,Napa,CA,94559,1997-10-16,,2015-05-25,way,348383240,18.659
In-N-Out Burger,38.5409423,-121.7371519,,Olive Drive,1020,Davis,CA,95616,1998-01-23,,2009-12-19,way,46689174,27.507
In-N-Out Burger,32.7694899,-117.1434585,,Camino del Este,2005,San Diego,CA,92108,1998-05-21,,2009-03-07,way,31839911,5.598
In-N-Out Burger,37.4209661,-122.0933306,,North Rengstorff Avenue,1159,Mountain View,CA,94043,1998-06-11,,2009-02-15,way,31074131,15.103
In-N-Out Burger,37.3609714,-122.0249637,,East El Camino Real,604,Sunnyvale,CA,94087,1998-07-02,,2010-02-02,way,49320591,8.999
In-N-Out Burger,38.6368449,-121.5042251,,Truxel Road,3501,Sacramento,CA,95834,1998-08-13,,2009-09-01,way,39990457,20.585
In-N-Out Burger,33.7003257,-117.8850654,,Bristol Street,3361,Santa Ana,CA,92704,1998-11-11,,2013-07-04,way,228745470,5.833
In-N-Out Burger,34.2150462,-118.4482966,,Van Nuys Boulevard,7930,Panorama City,CA,91402,1998-12-10,,2015-01-11,way,321558902,1.784
In-N-Out Burger,33.8310923,-118.0848683,,Carson Street,7691,Long Beach,CA,90808,1999-04-21,,2013-06-02,way,224056167,4.957
In-N-Out Burger,34.93726,-120.4188312,,South Bradley Road,1330,Santa Maria,CA,93454,1999-05-27,,2012-11-17,way,191201142,79.496
In-N-Out Burger,40.5853295,-122.3477982,,Dana Drive,1275,Redding,CA,96003,1999-06-25,,2017-01-14,way,465842430,216.579
In-N-Out Burger,33.8593161,-117.7914859,,East La Palma Avenue,5646,Anaheim Hills,CA,92807,1999-08-12,,2014-03-03,way,264263470,8.198
In-N-Out Burger,38.7203717,-120.8331392,,Forni Road,3055,Placerville,CA,95667,1999-09-30,,2016-08-16,way,437474002,29.041
In-N-Out Burger,33.9916506,-118.4462491,,West Washington Boulevard,13425,Marina del Rey,CA,90292,1999-10-28,,2014-12-11,way,316836541,6.158
