source_ino_city,source_ino_lat,source_ino_lon,source_ino_date,name,lat,lon,city,street,housenumber,postcode,competitor_created,distance_km
San Jose,37.3502945,-121.921861,2010-01-14,Quiznos,37.4064714,-121.9416711,San Jose,Rio Robles East,37,95134,2010-09-24,6.487
San Jose,37.3502945,-121.921861,2010-01-14,KFC,37.3525962,-122.0037189,Sunnyvale,East El Camino Real,1065,94087,2010-01-31,7.24
San Jose,37.3502945,-121.921861,2010-01-14,Jollibee,37.4161154,-121.899288,,,,,2010-01-20,7.586
Bakersfield,35.3830602,-119.0909247,2010-05-20,Sonic,35.3829678,-119.1005402,Bakersfield,Rosedale Highway,8875,93312,2010-05-20,0.872
Bakersfield,35.3830602,-119.0909247,2010-05-20,Popeyes,35.3838458,-119.1087187,Bakersfield,Rosedale Highway,9606,93312,2010-05-21,1.616
Bakersfield,35.3830602,-119.0909247,2010-05-20,McDonald's,35.4020915,-119.093046,Bakersfield,Coffee Road,4601,93312,2010-05-21,2.125
Bakersfield,35.3830602,-119.0909247,2010-05-20,Taco Bell,35.3828481,-119.0505443,Bakersfield,Rosedale Highway,3799,93308,2010-05-20,3.661
Bakersfield,35.3830602,-119.0909247,2010-05-20,Panda Express,35.3555199,-119.0583914,Bakersfield,Stockdale Highway,5120,93309,2010-05-20,4.252
Redwood City,37.4905957,-122.2278514,2010-08-26,Taco Bell,37.511398,-122.2650463,San Carlos,El Camino Real,259,94070,2011-02-16,4.015
Redwood City,37.4905957,-122.2278514,2010-08-26,Dunkin',37.5109317,-122.2655295,San Carlos,El Camino Real,240,94070,2011-02-16,4.02
Redwood City,37.4905957,-122.2278514,2010-08-26,McDonald's,37.5111625,-122.2658145,San Carlos,El Camino Real,180,94070,2011-02-16,4.055
Redwood City,37.4905957,-122.2278514,2010-08-26,Mr. Pickles,37.519687,-122.276548,,Ralston Avenue,891,,2011-04-09,5.377
Redwood City,37.4905957,-122.2278514,2010-08-26,Wendy's,37.5214237,-122.2753648,Belmont,Ralston Avenue,698,94002,2011-01-07,5.414
Escondido,33.1151488,-117.1018928,2010-09-30,Del Taco,33.1150993,-117.1012515,Escondido,West Valley Parkway,1270,92029,2011-03-06,0.06
Escondido,33.1151488,-117.1018928,2010-09-30,Carl's Jr.,33.1140551,-117.1005311,Escondido,Auto Park Way,1288,92029,2011-03-06,0.176
Escondido,33.1151488,-117.1018928,2010-09-30,La Salsa,33.1145759,-117.0997038,,Auto Park Way,1290,,2011-03-06,0.214
