site_type,lat,lon,city,predicted_score,dist_to_nearest_prior_km,nearest_competitor_km,avg_nearest_5_competitors_km,median_income,resident_pop,workers_in_tract,workers_from_tract,daytime_pop,hwy_aadt,dist_to_highway_meters,dist_to_nearest_dc_miles,dist_to_freeway_ramp_meters,trade_area_population
Real In-N-Out,38.2811372,-122.2762518,Napa,0.5283,18.659,0.77,11.624,93400,6156,2175,2628,5703,19600.0,250.2597182132787,62.27958732148032,2569.4398803484737,6120
Real In-N-Out,38.5409423,-121.7371519,Davis,0.5573,27.507,0.405,0.503,62757,5796,1121,1848,5069,106000.0,196.90419618045257,55.115822838922746,139.6476272645536,5860
Real In-N-Out,32.7694899,-117.1434585,San Diego,0.5344,5.598,1.039,2.791,104886,3868,28980,2395,30453,170000.0,415.2152976012121,102.25776910016684,123.4203995787869,4190
Real In-N-Out,37.4209661,-122.0933306,Mountain View,0.5543,15.103,4.469,5.616,160859,3101,4566,1817,5850,195000.0,90.57718286956056,52.132526624751456,43.988690048980835,2936
Real In-N-Out,37.3609714,-122.0249637,Sunnyvale,0.527,8.999,0.094,0.658,178263,6517,1526,2914,5129,35500.0,1222.7755955424284,51.49801511416656,3717.3237045029223,6212
Real In-N-Out,38.6368449,-121.5042251,Sacramento,0.55,20.585,19.054,20.953,107813,2382,16404,1283,17503,168000.0,589.5819126143165,57.26758074313635,369.660947437686,2897
Real In-N-Out,33.7003257,-117.8850654,Santa Ana,0.4886,5.833,1.17,1.98,79107,5896,1578,2392,5082,133300.0,1715.051034522677,26.84598954099908,1562.9851324488732,6308
Real In-N-Out,34.2150462,-118.4482966,Panorama City,0.4331,1.784,2.317,3.587,66615,4982,2497,2369,5110,216000.0,2879.966574733794,29.277382884356392,2799.8121102298173,5299
Real In-N-Out,34.93726,-120.4188312,Santa Maria,0.5326,79.496,0.144,0.741,60542,5093,3821,1737,7177,76000.0,179.20059343809393,151.73505814731325,54.40505989580724,5324
Real In-N-Out,40.5853295,-122.3477982,Redding,0.5715,216.579,0.515,1.734,69236,4264,6909,1505,9668,49000.0,1126.6053503395297,198.83861933794728,44.674534086737665,4271
Real In-N-Out,33.8593161,-117.7914859,Anaheim Hills,0.5666,8.198,1.122,3.209,0,3,18418,282,18139,62900.0,116.74855841176442,18.299674373355273,481.7302804646087,39
Real In-N-Out,38.7203717,-120.8331392,Placerville,0.5804,29.041,21.791,24.081,71014,5309,5145,2024,8430,45500.0,133.50751198542508,66.5562315048043,122.32657336476812,5299
Real In-N-Out,33.9916506,-118.4462491,Marina del Rey,0.5417,6.158,0.895,2.649,111927,3025,2704,1561,4168,63000.0,232.1647563987821,28.48656459660955,2049.9553451567317,2749
Real In-N-Out,37.896617,-122.5154846,Mill Valley,0.5541,20.687,3.076,4.482,119069,4396,1516,1613,4299,38500.0,861.3755886298248,67.09398077955147,152.8855182665779,4534
Real In-N-Out,37.2489967,-121.8593748,San Jose,0.5177,19.223,1.391,1.877,132698,4060,2879,1970,4969,142000.0,891.8625681988975,50.599057898292486,816.9461781922874,4279
Real In-N-Out,34.0683563,-117.5571559,Ontario,0.5599,4.854,2.531,4.507,71224,6776,18623,2715,22684,228000.0,156.68123165396815,23.12095176993915,89.91166309239861,6856
Real In-N-Out,35.3545142,-119.057977,Bakersfield,0.5142,6.999,0.336,0.908,54420,5657,1986,1995,5648,142000.0,2051.111884525427,107.56690858738922,1348.648659536325,5752
Real In-N-Out,39.723928,-121.8068025,Chico,0.561,106.246,0.4,0.443,59785,6487,5584,2715,9356,84000.0,407.39691607803826,134.0522776693238,123.291591733402,5977
Real In-N-Out,34.194936,-118.606345,Canoga Park,0.5004,4.455,0.656,0.909,98490,3785,741,1412,3114,36000.0,159.4726212088523,37.666438467549355,3105.6079328437827,4001
Real In-N-Out,37.6994023,-121.7732688,Livermore,0.5599,11.821,2.048,2.192,113639,6416,2608,3049,5975,215000.0,205.10574407375117,27.87145520292163,146.1481407962175,6166
Real In-N-Out,33.7534195,-118.3086571,San Pedro,0.4992,5.794,0.124,1.613,94800,4563,1270,2090,3743,36000.0,1812.4516091277703,30.294490584369616,1817.0515456543023,4882
Real In-N-Out,37.3804081,-122.0740362,Mountain View,0.5038,4.821,0.467,2.8,245521,5196,1623,2316,4503,47000.0,103.92846977532704,52.8304943837387,645.6538283637228,5157
Real In-N-Out,37.8077668,-122.4184666,San Francisco,0.526,13.045,1.178,3.822,83816,2118,5280,994,6404,40500.0,1130.940675248071,61.67164375725746,3610.856286078052,2121
Real In-N-Out,34.1486719,-118.2273608,Glendale,0.5704,9.107,0.686,1.22,118389,5332,4775,2357,7750,186000.0,263.9679389532867,15.867125369259448,69.7637298455522,5552
Real In-N-Out,37.3300763,-121.8113032,San Jose,0.4575,9.968,0.131,0.846,159375,4387,796,2331,2852,269000.0,2763.236813025492,44.58361926590449,2616.5264607645854,4301
Real In-N-Out,33.9457806,-118.3323416,Inglewood,0.4781,6.009,4.494,4.531,107396,4657,2055,1720,4992,260000.0,2769.5124309884563,23.296657210844156,2173.739515415254,4659
Real In-N-Out,33.2377705,-117.299342,Oceanside,0.5004,6.067,0.889,1.663,98153,4375,925,1347,3953,48000.0,191.79193419148157,69.7111503542256,6895.782889809345,3875
Real In-N-Out,34.2350734,-119.1796642,Oxnard,0.499,9.337,7.429,36.859,96797,5599,5762,2623,8738,140000.0,585.3706780676264,70.40292476632315,341.89963650773177,5973
Real In-N-Out,38.0053106,-121.8363754,Pittsburg,0.5044,28.015,0.137,3.354,56620,6818,5309,2636,9491,172000.0,224.4933476158855,32.361187428549705,60.56574135584985,7425
